0.0, 0 , 0
0.0, 0 , 0
0.0, 0 , 0
0.0, 0 , 0
4.0, 20 , 5
4.0, 20 , 5
4.0, 20 , 5
4.0, 20 , 5
4.0, 20 , 5
4.0, 20 , 5
4.0, 20 , 5
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
4.86, 34 , 7
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.64, 62 , 11
5.17, 62 , 12
5.17, 62 , 12
5.17, 62 , 12
5.17, 62 , 12
4.57, 64 , 14
4.57, 64 , 14
4.75, 76 , 16
4.75, 76 , 16
4.75, 76 , 16
4.75, 76 , 16
4.75, 76 , 16
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.47, 76 , 17
4.22, 76 , 18
4.22, 76 , 18
4.22, 76 , 18
4.0, 88 , 22
4.0, 88 , 22
4.0, 88 , 22
4.0, 88 , 22
4.0, 88 , 22
4.0, 88 , 22
4.0, 88 , 22
3.83, 88 , 23
3.83, 88 , 23
3.83, 88 , 23
3.83, 88 , 23
3.83, 88 , 23
3.83, 88 , 23
3.83, 88 , 23
3.83, 88 , 23
3.6, 90 , 25
3.6, 90 , 25
3.6, 90 , 25
3.6, 90 , 25
3.41, 92 , 27
3.41, 92 , 27
3.41, 92 , 27
3.41, 92 , 27
